id,title,gender,origin_id,meaning,used_in,additional_info
1945,Leland,Boy,15,Land lying fallow,English speaking countries,
1946,Lena,Girl,21,The bright one,"English, French, German, Polish, Russian and Armenian speaking countries",
1947,Leo,Boy,27,Lion,"English, French, Greek, Italian and Polish speaking countries","This name was taken from the Latin noun 'leo', meaning 'lion' (itself from the Greek 'leon'). Leo is slowly climbing in popularity - it reached the 236th spot in the US charts in 2006. Ex-British Prime Minister Tony Blair used it for his son in 2000, a hi"
1948,Leon,Boy,27,Lion,"English, French, German and Polish speaking countries","English, German and Polish form of Leo. It is spelled as Léon in French.<br />
<br />
León is a province in Spain, it's capital is also called León. León is also the name of a car made by SEAT.<br />
<br />
Russian Bolshevik revolutionary, Leon Trotsk"
1949,Leona,Girl,27,Lion,English speaking countries,"One famous bearer of this name was Leona Helmsley, a New York real estate developer who became infamous as the ""Queen of Mean."""
1950,Leonard,Boy,20,Strong as the lion,"English, German and Polish speaking countries","St. Leonard of Noblac is the patron saint of birthing mothers, prisoners and the mentally ill.<br />
<br />
Other famous Leonards include singer-songwriter Leonard Cohen, composer Leonard Bernstein and actor Leonard Nimoy, who played Spock in 'Star Trek"
1951,Leonardo,Boy,20,Strong as the lion,"English, Italian, Portuguese and Spanish speaking countries","Famous bearers include Italian Renaissance polymath Leonardo da Vinci - most famous for his painting the 'Mona Lisa' but also a skilled architect, inventor, scientist, musician and writer. It's more recent popularity may be attributed to actor Leonardo Di"
1952,Leonel,Boy,27,Lion,English speaking countries,
1953,Leopoldo,Boy,20,Bold people,English and Spanish speaking countries,"This is the variant used in Spain, Portugal and Italy."
1954,Leroy,Boy,17,The king,English speaking countries,
1955,Lesley,Both,18,Holly Garden,English speaking countries,"First seen in a Robert Burn's poem, Lesley is a variant of the name Leslie."
1956,Leslie,Both,18,Holly Garden,English speaking countries,"From the Gaelic surname for the lands of Lesslyn in Aberdeenshire, the words ""leas cuilinn"" meaning garden of hollies.<br />
<br />
Leslie was the birth name of the 38th President Gerald R. Ford. President Ford was adopted as a baby."
1957,Lesly,Girl,18,Holly Garden,English speaking countries,
1958,Lester,Boy,15,From Leicester,English speaking countries,"Likely from the place name, Leicester, or in the 10th century ""Ligora caester"" more or less meaning  Ligora's fort."
1959,Leticia,Girl,27,Joy,"English, Portuguese and Spanish speaking countries",Spanish and Portuguese variation of of Letitia.
1960,Levi,Boy,23,Combined,English and Hebrew speaking countries,"Levi is a Hebrew name used in the Old Testament of the Bible. Levi was the name of one of the sons of Jacob. His descendants, the Levites, were the priests of Israel. <br />
<br />
It is also the name of a popular brand of jeans, Levi-Strauss."
1961,Levon,Boy,27,Lion,English speaking countries,"This is actually an Armenian variant of Leon, now used as a given name in North America."
1962,Lewis,Boy,20,Fame and war,English speaking countries,"Lewis is a long accepted English spelling of the French name, Louis. It was the 20th most popular boy's name in the UK in 2006 and 2nd in Scotland, but was ranked only 678th in the US. The Isle of Lewis is one of the islands off the west coast of Scotland"
1963,Lexi,Girl,21,Defending men,English speaking countries,
1964,Lexie,Girl,21,Defending men,English speaking countries,"A nickname for Alexandra, Alexis or Alex."
1965,Lexis,Both,21,Defender,English speaking countries,
1966,Lexus,Girl,15,A brand of car,English speaking countries,A name coming from a brand of luxury cars.  The word Lexus itself has no meaning and was created as something pleasing to the ear that would be easily remembered.  Lexus was used in the first part of the 21st century and is part of a trend to use luxury b
1967,Leyla,Girl,33,Dark-haired beauty; night,Arabic and English speaking countries,A variant transcription of Laila.
1968,Lia,Girl,25,"Uncertain, possibly from Rosalia",English speaking countries,"Shortened form of names ending in -lia, such as Rosalia, but also Cornelia, Julia etc. In the English speaking world it could be an alternate spelling for Leah. <br />"
1969,Liam,Boy,20,"Will, desire and helmet, protection",English speaking countries,"This name is a short form of the Irish name Uilliam (William) which is now use independently as a given name. As a Hebrew name, Liam means ""my people; I have a nation"". <br />
<br />
Famous bearers include 'Oasis' singer Liam Gallagher, former Irish Tao"
1970,Liana,Girl,27,N/A,English speaking countries,Lianas are climbing vines. The Suzuki Aerio car is called the Suzuki Liana outside of North America.
1971,Libby,Girl,23,My God is a vow,English speaking countries,This name started as a nickname for Elizabeth but is now used as a given name on its own.
1972,Liberty,Both,27,Freedom,English speaking countries,"Liberty is freedom or independence. <br />
<br />
The Statue of Liberty is a large statue of a woman (Liberty) which stands in New York Harbour. The Liberty Bell is found in Philadelphia, and was rung  to summon the citizens of Philadelphia to the readi"
1973,Lidia,Girl,21,Woman from Lydia,"English, Polish, Spanish and Russian speaking countries",A name from the New Testament.
1974,Lila,Girl,33,Dark-haired beauty; night,"African, English, Hindi and Swahili speaking countries","Simple spelling for Leila.<br />
As a Sanskrit name, Lila [lee-LAH] was the name of a queen who was enlightened by the Goddess Saraswati."
1975,Lilah,Girl,23,N/A,English speaking countries,
1976,Lilia,Girl,27,Lilies,"English, Hebrew and Armenian speaking countries","Lilia is the plural of the Latin 'lilium', meaning ""lily"".<br />
<br />
Lilia is also a Hebrew name which literally means ""to me, to god"" – whatever I own belongs to God also."
1977,Lilian,Girl,23,My God is a vow,English speaking countries,"This name was first recorded in the 16th century as a diminutive of Elizabeth.  It is now more commonly considered to be connected with the name Lily.<br />
Lilian also happens to be the French male form of Liliane."
1978,Liliana,Girl,27,Lilies,"English, Italian and Polish speaking countries","Liliana may be derived from Lilia (from the Latin for ""lilies"").<br />
<br />
It may also be a modern combination of Lily and Anna; or related to Elizabeth, from the Hebrew meaning ""God's oath""."
1979,Lilianna,Girl,27,Lilies,English speaking countries,
1980,Lillian,Girl,23,My God is a vow,English and Hebrew speaking countries,"Lillian Bounds was the wife of animator Walt Disney. Lillian Gish and Lillian Roth were American actresses, and Lillian Hellman was a playwright. The name was most popular around 1900, and these four examples of bearers of the name Lillian were all born w"
1981,Lilliana,Girl,27,Lilies,English speaking countries,
1982,Lillie,Girl,15,Lily,English speaking countries,"Lillie is a nickname for Lillian, but is also used as a name in its own right...perhaps as an alternate spelling to the botanical name Lily."
1983,Lilly,Girl,15,Lily,English speaking countries,
1984,Lily,Girl,15,Lily,English speaking countries,"Lily is the name of a flower and is ultimately derived from the Latin word lilium. They are often showy, with a noticeable scent and long stamens. 'Lily' is also used in the names of other plants such as the water lily (Latin name Nymphaeaceae) - which fl"
1985,Lilyana,Girl,27,Lilies,English speaking countries,Respelling of Liliana.
1986,Lina,Girl,3,"Delicate, compassionate","African, Arabic and English speaking countries","Lina is a name in both the Arabic and Hausa languages.  It is also used as a nickname for names ending in -lina, such as Carolina."
1987,Lincoln,Boy,15,"Lake settlement, lake colony",English speaking countries,"The original Lincoln is a city in England, although there are now Lincolns all over the world. It was taken as a surname and is now becoming popular as a first name (it was the 300th most popular boy's name in the US in 2006). For those who don't live nea"
1988,Linda,Girl,15,N/A,African and English speaking countries,The Linda used in English is of modern coinage and uncertain derivation.
1989,Linden,Boy,19,Lime tree,English speaking countries,"Linden can also be a variant of the name Lyndon.  The linden tree is a deciduous tree known as a ""lime"" tree in British English, though not related to the citrus tree of the same name."
1990,Lindsay,Both,18,"Uncertain, perhaps ""dark lake""; Lincoln",English speaking countries,"Lindsay is derived from the Brithonic name ""Lindissi,"" a corruption of the Latin ""Lindum Colonia"" - the Roman name for Lincoln.  ""Lindum"" may derive from the old Gaeli ""lindu,"" meaning ""dark lake.""  Lindsay is a unisex name today, usually feminine in the"
1991,Lindsey,Both,15,"Uncertain, perhaps ""dark lake""; Lincoln",English speaking countries,"Lindsey is a variant spelling of Lindsay, but can also come from a Middle English phrase meaning ""Lelli's island."""
1992,Lindy,Both,15,N/A,English speaking countries,Nickname for names containing -lind-.
1993,Linsey,Girl,15,"Uncertain, perhaps ""dark lake""; Lincoln",English speaking countries,
1994,Lionel,Boy,27,Lion,English and French speaking countries,"French first name, pet form of Léon. It is also an English surname from which the English usage of the name is probably derived. The French pronounciation is lee-YO-nel."
1995,Lisa,Girl,23,My God is a vow,English speaking countries,This short form of Elisabeth is extremely popular as a full given name.
1996,Lisandro,Boy,21,Freeing a man,English and Spanish speaking countries,
1997,Lisbeth,Girl,23,My God is a vow,English and German speaking countries,
1998,Lisette,Girl,23,My God is a vow,English and French speaking countries,"The French pronounciation of the name is [lee ZET].<br />
It is a French petform of Elizabeth. <br />
Alongside with Lison, Lisette was common from the beginning of the 18th century on.<br />
It is a name that appears often in comedies. Lison is the jo"
1999,Litzy,Girl,42,N/A,English and Spanish speaking countries,"Modern coinage. Litzy is perhaps copied on Mitzie. This is the name of a Mexican pop singer, who may be responsible for the recent fashion for the name."
2000,Livia,Girl,27,N/A,English speaking countries,Also taken as a shortened form of Olivia.
2001,Liza,Girl,23,My God is a vow,English speaking countries,
2002,Lizbeth,Girl,23,My God is a vow,English speaking countries,
2003,Lizeth,Girl,23,My God is a vow,English speaking countries,"Coinage, derived from Lisa or Lisette."
2004,Lizette,Girl,23,My God is a vow,English speaking countries,
2005,Lloyd,Boy,48,Grey,English speaking countries,
2006,Lochlan,Boy,18,Warrior from the Land of the Lochs,English speaking countries,Anglicized spelling of the traditional Lachlan.
2007,Logan,Boy,18,Hollow,English speaking countries,Originally a surname which was derived from a Scottish place name
2008,Lois,Girl,21,N/A,English speaking countries,Of uncertain origin.
2009,Lola,Both,42,Sorrows,English and Spanish speaking countries,"As a female name, Lola is a diminutive form of Dolores.<br />
<br />
As a Sanskrit male name, Lola [lo-luh] means ""moving to and fro"" and is a name of Sri Krishna as a flute player.<br />
<br />
The German film awards are also known as the Lolas. Lola"
2010,London,Both,15,From London,English speaking countries,"London itself is of obscure etymology, but is possibly connected with the Celtic element 'lond' which means 'wild'. The Latinised Roman name for London was Londinium."
2011,Long,Both,47,Dragon,English and Vietnamese speaking countries,"The name of one of the four sacred creatures in Viet Nam, the dragon.  It is in part taken from several place names such as Ha Long Bay."
2012,Loni,Boy,20,Noble and ready/prompt; all struggle,English speaking countries,Pet form of Alonzo.
2013,Lonnie,Both,20,Noble and ready/prompt; all struggle,English speaking countries,
2014,Lora,Girl,27,Laurel,English and German speaking countries,Also used as a Russian nickname for Larisa.
2015,Lorelai,Girl,19,Murmuring rock,English speaking countries,"This misspelling of the name Lorelei gained popularity with the introduction of the character Lorelai Gilmore on the U.S. television show ""Gilmore Girls."""
2016,Lorelei,Girl,19,Murmuring rock,English speaking countries,"In German mythology, the Lorelei is a rock on the Rhine river where a siren sits to lure mariners to their deaths.  In Germanic mythology, Lorelei is also the name of the siren, a maiden who drowned herself and was reborn as a water sprite; however, becau"
2017,Loren,Both,27,Man from Laurentum,English speaking countries,
2018,Lorena,Girl,27,Man from Laurentum,English speaking countries,
2019,Lorenzo,Boy,27,Man from Laurentum,English and Italian speaking countries,"Lorenzo de' Medici was the ruler of Florence during the Italian Renaissance. His grandson was also named Lorenzo, and was the father of French queen Catherine de' Medici.<br />
<br />
Lorenzo's Oil is used as a treatment for ALD (Adrenoleukodystrophy)."
2020,Loretta,Girl,27,Laurel,English speaking countries,
2021,Lori,Girl,17,Of Lothair,English speaking countries,
2022,Lorie,Girl,27,Laurel,English speaking countries,"Alternate spelling for Laurie, Lori etc."
2023,Lorne,Boy,15,N/A,English speaking countries,
2024,Lorraine,Girl,17,Of Lothair,English speaking countries,This surname became a popular first name in Scotland in the 19th century.
2025,Louie,Boy,20,Fame and war,English speaking countries,Anglicised nickname for Louis.
2026,Louis,Boy,20,Fame and war,English and French speaking countries,"Louis is a traditional and still very popular French name related to Clovis and Ludovic.<br />
The Germanic Chlodowig, derived from 'hold' (""glory, fame"") and 'wig' (""warrior), was simplified to Clovis. The Latin form of Clovis became Clodovico, which ga"
2027,Louisa,Girl,20,Fame and war,English speaking countries,
2028,Louise,Girl,20,Fame and war,"Dutch, English and French speaking countries","Louise is a popular feminine form of the name Louis; it is used in all English-speaking and French-speaking countries, and is commonly found across Europe.  Louise is a common name in European royal families.  Saint Louise de Marillac was born in France i"
2029,Lourdes,Girl,7,Craggy slope,English speaking countries,Lourdes is a city in France where the Virgin Mary is believed to have revealed herself.
2030,Lowell,Boy,15,Wolf,English speaking countries,
2031,Luc,Boy,21,Man from Lucania,"English, French and Welsh speaking countries",
2032,Luca,Boy,21,Man from Lucania,English and Italian speaking countries,Italian form of Luke.
2033,Lucas,Boy,21,Man from Lucania,"Dutch, English, French, Persian and Spanish speaking countries",
2034,Lucero,Boy,27,Light,English and Spanish speaking countries,
2035,Lucia,Girl,27,Light,"English, Italian and Spanish speaking countries","Saint Lucia is an island in the Caribbean. It was named after Saint Lucy (Lucia) of Syracuse.  <br />
<br />
Saint Lucia enjoys a high degree of popularity in Scandinavian countries, where her feast day is celebrated every December 13th.  Her connection"
2036,Lucian,Boy,27,Light,English speaking countries,"Famous bearers include Lucian of Samosata -an Assyrian satirist, St Lucian of Antioch  and British painter Lucian Freud."
2037,Luciana,Girl,27,Light,"English, Italian, Portuguese and Spanish speaking countries","Luciana is a main character of Shakespeare's play ""The Comedy of Errors""."
2038,Luciano,Boy,27,Light,English and Italian speaking countries,
2039,Lucille,Girl,27,Light,English and French speaking countries,"Lucille Ball was an American comedian and actress, famous for her show 'I love Lucy'."
2040,Lucinda,Girl,27,Light,English speaking countries,"""Lucinda"" first appears in literature in Cervantes' ""Don Quixote,"" though it is unclear whether Cervantes invented this name himself.  Lucinda first became popular in the nineteenth century; it is currently quite uncommon in the U.S."
2041,Lucy,Girl,27,Light,English speaking countries,"Lucy can be used as a full name, or as a nickname for names such as:<br />
<br />
Lucille<br />
Lucinda<br />
Lucine<br />
Lucia<br />
Lucasta<br />
Lucetta or <br />
Lucretia.<br />
<br />
Oddly, it is also used in Russia as a nickname for Taty"
2042,Luis,Boy,20,Fame and war,"English, Portuguese and Spanish speaking countries",
2043,Luisa,Girl,20,Fame and war,"English, Portuguese and Spanish speaking countries",
2044,Luka,Boy,21,Man from Lucania,English speaking countries,
2045,Lukas,Boy,21,Man from Lucania,English and German speaking countries,
2046,Luke,Boy,21,Man from Lucania,English speaking countries,"St Luke was the author of the Biblical books of Luke and of the Acts of the Apostles. He is traditionally seen as being a physician or a doctor. <br />
<br />
Luke was ranked as the 17th most popular boy's name in the UK in 2006, but was rated 43rd in t"
2047,Luna,Girl,27,Moon,English and Spanish speaking countries,"Luna is the Latin word for moon, and was the name of Roman goddess of the moon, who is usually identified with the Greek goddess Selene. <br />
<br />
Luna Lovegood is a character in the 'Harry Potter' books.<br />
<br />
Luna was the 10th most popula"
2048,Luther,Boy,20,People army,English and German speaking countries,
2049,Luz,Both,42,Light,"English, Hebrew and Spanish speaking countries","As a Spanish girls' name, Luz means ""light"". As a Hebrew boys' name, Luz means ""almond tree"" or ""hazel tree"". Luz was the ancient name of the biblical town, Beth El. It is also a symbolic name for children born on Tu b’Shvat, the Jewish Arbor Day."
2050,Lydia,Girl,20,Noble kind; of the noble sort,English speaking countries,"Lydia is the name of a historic region of Asia Minor, that included Troy and Ephesus. Lydia is also the name of a purple goods seller, in the Bible. She is considered the first European convert to Christianity. She was living in Thyatira which was on the"
2051,Lyla,Girl,33,Dark-haired beauty; night,English speaking countries,A variant of Lila. It is the name of a song by the British band Oasis. A respelling of the traditional Lila.
2052,Lyle,Boy,17,Island,English speaking countries,
2053,Lynda,Girl,15,N/A,English speaking countries,
2054,Lynden,Boy,15,Lime tree hill,English speaking countries,
2055,Lyndon,Boy,15,Lime tree hill,English speaking countries,"Most  famous bearer of this surname turned personal name is 36th President of the United States Lyndon B. Johnson.  Other famous bearers include political activist and economist Lyndon LaRouche,"
2056,Lyndsay,Girl,15,"Uncertain, perhaps ""dark lake""; Lincoln",English speaking countries,
2057,Lyndsey,Girl,15,"Uncertain, perhaps ""dark lake""; Lincoln",English speaking countries,
2058,Lynette,Girl,15,N/A,English speaking countries,"Lynette may be an elaboration of Lynn with the suffix 'ette'.<br />
It is also considered a French medieval form of the Welsh name Eluned."
2059,Lynn,Both,15,N/A,English speaking countries,"Of uncertain origin, possibly derived from Linda."
2060,Lynne,Girl,15,N/A,English speaking countries,
2061,Lynnette,Girl,15,N/A,English speaking countries,
2062,Lynsey,Girl,15,"Uncertain, perhaps ""dark lake""; Lincoln",English speaking countries,A modern respelling of Lindsey that enjoyed some popularity in the US during the 1980s.
2063,Lyric,Girl,15,Lyric,English speaking countries,
2064,Macey,Both,15,Place of Maccius,English speaking countries,"From the surname Massey, which derives from places names for a person called Maccius."
2065,Maci,Girl,15,Place of Maccius,English speaking countries,
2066,Macie,Girl,15,Place of Maccius,English speaking countries,
2067,Mack,Boy,18,Son of,English speaking countries,"Pet form of MacKenzie.<br />
'Mac' means 'son of' in Gaelic."
2068,Mackenzi,Both,18,Son of Coinneach; son of the fair one,English speaking countries,Trendy respelling of the traditional masculine surname Mackenzie.
2069,Mackenzie,Both,18,Son of Coinneach; son of the fair one,English and Gaelic speaking countries,"MacKenzie is a common Scottish surname, traditionally denoting membership in the MacKenzie clan. The MacKenzies have been a significant clan in Scotland for at least 700 years.<br />
<br />
MacKenzie itself is an Anglicization of the Gaelic MacCoinneach"
2070,Macy,Both,15,Place of Maccius,English speaking countries,"Macy's are a chain of American department stores founded by Rowland Macy. <br />
<br />
William H Macy is an actor and Macy Gray is a singer, born Natalie Renee McIntyre"
2071,Madalyn,Girl,23,From Magdala,English speaking countries,
2072,Madalynn,Girl,23,From Magdala,English speaking countries,
2073,Maddex,Boy,48,Good; generous,English speaking countries,"A respelling of Maddox, although technically, this spelling would lend to an entirely different pronunciation. Was more popular in Canada than anywhere else and hit in their top names list in 2005."
2074,Maddison,Both,15,Son of Maud; Matthew's son,English speaking countries,A respelling of Madison.
2075,Maddox,Boy,48,Good; generous,English and Welsh speaking countries,"Surname derived from the Welsh personal name Madoc.<br />
Related to the other Welsh surname Maddock."
2076,Madelaine,Girl,23,From Magdala,English speaking countries,Variant of Madeleine.
2077,Madelein,Girl,23,From Magdala,English speaking countries,A respelling of the traditional Madeline which was a hit in Australia in the mid 90's to 2002.
2078,Madeleine,Girl,23,From Magdala,English and French speaking countries,"French cognate of Magdalene, also in common use in English-speaking countries.<br />
<br />
A madeleine is a famous sort of French butter cookie or cake.  Several French communes and geographical features are named Madeleine after Mary Magdalene."
2079,Madeline,Girl,23,From Magdala,English and French speaking countries,"English form of French Madeleine, itself from Magdalene. <br />
<br />
The 'Madeline' books were written by Ludwig Bemelmans, and follow the adventures of a young girl living in Paris. <br />
<br />
Madeline Kahn was an American actress."
2080,Madelyn,Girl,23,From Magdala,English speaking countries,A modern phonetic spelling of Madeline or Madeleine.
2081,Madelynn,Girl,23,From Magdala,English speaking countries,A modern phonetic spelling of Madeline or Madeleine.
2082,Madilyn,Girl,23,From Magdala,English speaking countries,
2083,Madisen,Girl,15,Son of Maud; Matthew's son,English speaking countries,
2084,Madison,Both,15,Son of Maud; Matthew's son,English speaking countries,"Transferred use of the surname meaning ""son of Maud""; and also perhaps ""Mad's son"", Mad being a common pet form of Matthew during the Middle Ages.<br />
<br />
Although Madison, today, is given as a name to both genders, it isn't a legitimate unisex nam"
2085,Madisyn,Girl,15,Son of Maud; Matthew's son,English speaking countries,A respelling of the name Madison.
2086,Madysen,Girl,15,Son of Maud; Matthew's Son,English speaking countries,"Trendy respelling of the popular Madison, a masculine surname that has recently become incredibly popular for baby girls."
2087,Madyson,Girl,15,Son of Maud; Matthew's son,English speaking countries,A modern respelling of Madison.
2088,Maegan,Girl,21,Pearl,English speaking countries,Modern  trendy American English respelling of  the classic Megan.
2089,Maeve,Girl,18,Intoxicating,English speaking countries,"Anglicization of the Gaelic name Maebh (also Méabh, Madhbh, Medb).<br />
<br />
Medb was the great warrior queen of Connacht in the Ulster Cycle of Irish mythology. Her name might be related to mad (child), or to meisce and mean ""the cause of great into"
2090,Magan,Boy,24,Absorbed; engrossed,English and Hindi speaking countries,"Indian boy name meaning ""absorbed"", ""engrossed"".<br />
<br />
Magan was also an ancient region which was referred to in Sumerian cuneiform texts of around 2300 BC as a source of copper and diorite for Mesopotamia. The location of Magan is not known with"
2091,Magdalena,Girl,23,Of Magdala,"Bulgarian, Czech, Dutch, English, German, Polish, Romanian and Spanish speaking countries",Latinate form of Madgalene.
2092,Magen,Boy,23,Shield,English and Hebrew speaking countries,"“Magen David” is the Hebrew name of the ""star of David"". It is a six pointed star that is formed by two equilateral triangles which have the same center. The Magen David is a symbol of the Jewish faith and of Israel, represented on its flag.  ""Magen"" is s"
2093,Maggie,Girl,21,Pearl,English speaking countries,Pet form of Margaret.
2094,Magnus,Boy,27,Great,English and German speaking countries,"A borrowing from the Latin, Magnus is derived from magnus (great, large). The name was brought to England by the Scandinavians during the Middle Ages."
2095,Mai,Girl,10,Ocean or elegance,"English, Japanese, Vietnamese and Welsh speaking countries","The Vietnamese meaning is disputed.   There the female name refers to a plant popular for Tet - either a yellow flower or the cherry blossom. As a Japanese female name, Mai may be written with the character for dance."
2096,Maia,Girl,21,"Uncertain, perhaps mother or great one",English speaking countries,"Of uncertain meaning, Maia appears in both Greek and Roman mythologies.<br />
It might come from the Old Greek word for mother or nurse. The root 'ma' means motherhood.<br />
Her name could also derived from the root mai- ""great"", seen also in Latin  ma"
2097,Maira,Girl,27,"Uncertain, perhaps myrrh, onguent",English speaking countries,"Variant of Maila, the Hawaiian form of Myra."
2098,Maisie,Girl,18,Pet form of Mairead,English and Gaelic speaking countries,"Pet form of Mairead, the Scottish Gaelic form of Margaret."
2099,Maiya,Girl,21,"Uncertain, perhaps mother or great one",English and Russian speaking countries,Russian form of the name Maya.<br />
2100,Makaila,Girl,23,Who is like God?,English speaking countries,
2101,Makala,Both,22,To loosen; to set at liberty; to remit,English and Hawaiian speaking countries,With a long first 'a' (maa KAH leh) this could mean 'myrtle'.
2102,Makayla,Girl,23,Who is like God?,English speaking countries,
2103,Makena,Girl,2,Happy one,African and English speaking countries,"Makena means ""happy one"" in Kikuyu (a tribe of Kenya).<br />
<br />
Makena is also sometimes used as a variant of MacKenna."
2104,Makenna,Both,18,Son of Cionaodh,English speaking countries,Popular variant of MacKenna.
2105,Makenzie,Girl,18,Son of Coinneach; son of the fair one,English speaking countries,
2106,Makhi,Boy,23,N/A,English speaking countries,Respelling of the modern coinage Mekhi. Has increased in popularity to the credit of  American actor Mekhi Phifer.
2107,Malakai,Boy,23,My messenger,English speaking countries,Modern variant of Malachi.
2108,Malaki,Boy,23,My messenger,English and Swedish speaking countries,Swedish and Hawaiian variant of Malakhi.
2109,Malaya,Both,39,Sandalwood trees,English and Hindi speaking countries,"From the name of the country which became Malaysia.<br />
Malaya is a comination of two Tamil words, Malay or Malai (hill) and ur (town); thus meaning ""hilltown"".<br />
<br />
Next to this it is also in use as a firstname."
2110,Malaysia,Girl,39,Sandalwood trees,English speaking countries,"Comes from the name Malaya, which  is a comination of two Tamil words, Malay or Malai (hill) and ur (town); thus meaning ""hilltown"".<br />
<br />"
2111,Malcolm,Boy,18,Columba's servant,English speaking countries,"Gaelic name meaning ""follower or devotee of the dove"", where the dove is usually St. Columba.<br />
<br />
It was a popular name among Scottish nobility, and the first name of black Muslim Minister and Civil Rights leader Malcolm X."
2112,Malcom,Boy,18,Columba's servant,English speaking countries,
2113,Maleah,Girl,23,"Uncertain, maybe bitter",English speaking countries,American variant spelling of Malia.
2114,Malia,Girl,23,"Uncertain, maybe bitter","African, English and Swahili speaking countries",Hawaiian form of Mary.
2115,Malik,Boy,3,King; owner,Arabic and English speaking countries,"Malik is an Arabic name meaning ""he who owns"", ""king"" or ""master"". It is also an Arabian title. A Malik is the ruling Monarch of a kingdom, called ""mamlaka"". <br />
<br />
In Islamic belief, it is also one of the ""99 Names of Allah"", and is then al-Mali"
2116,Malika,Girl,3,Queen,"African, Arabic, English, Hindi, Hungarian and Swahili speaking countries","Malika is the female derivation of Malik, a term of Arabic origin used in Persia as the title for a Queen consort (i.e. not ruling, although Islamic tradition does not forbid this to women). Frequently also used as part of a lady's name.<br />
<br />
Ma"
2117,Malinda,Girl,15,Blending of 'mel' and 'inda',English speaking countries,Variant of Melinda.
2118,Maliyah,Girl,17,N/A,English speaking countries,"A recent modern english respelling, probably influenced by the names Molly or Malia.Or possibly a variant of the name Aliyah."
2119,Mallory,Both,17,Luckless,English speaking countries,"Transferred use of the English surname, derived from the Old French meaning ""luckless, unfortunate"". <br />
<br />
As a surname, famous bearers include Thomas Malory, author of 'Le Morte Darthur', and mountaineer George Mallory who died during an attemp"
2120,Malorie,Girl,17,Luckless,English speaking countries,Malorie Blackman is a British children's author.
2121,Manav,Boy,39,Youth,English and Hindi speaking countries,
2122,Mandi,Girl,27,She who must be loved,English speaking countries,
2123,Mandy,Both,27,She who must be loved,English speaking countries,"A short form of Amanda or Miranda, Mandy is also bestowed as an independent given name.  Very occasionally Mandy is used as a male name."
2124,Maneet,Boy,39,Honoured,English and Hindi speaking countries,
2125,Manisha,Girl,24,Sagacity; desire,English and Hindi speaking countries,"Manisha is associated with the Hindu deity of the mind. It is also a commonly used as a name for girls in India and Nepal. When used in this context, it symbolizes intelligence and desire."
2126,Mara,Both,23,Bitter,"English, Hebrew, Hindi and Hungarian speaking countries","Mara is a name that appears in many mythologies.<br />
<br />
A Hebrew name meaning ""bitter, bitterness"", Mara is one with the Biblical figure of Naomi.  She changed her name from Naomi (pleasant) to Mara after she suffered the deaths of her husband and"
2127,Maranda,Girl,27,She who must be admired,English speaking countries,A respelling of Miranda.
2128,Marc,Boy,27,From the god Mars,"English, French and Welsh speaking countries","From Latin Marcus; French form of Mark.<br />
This form is also now quite popular in the English-speaking world."
2129,Marcel,Boy,27,Little Marcus,English and French speaking countries,"French cognate of Marcellus, most famous in the years 1930-1940."
2130,Marcela,Girl,27,Little Marcus,"Czech, English, Polish, Romanian and Spanish speaking countries",
2131,Marcelino,Boy,27,Little Marcus,"English, Portuguese and Spanish speaking countries",Spanish and Portuguese cognate of Marcellinus.
2132,Marcella,Girl,27,Little Marcus,English and Italian speaking countries,"Latin feminine of Marcellus, a diminutive of Marcus. In regular use in the English-speaking countries since the 1860s.<br />
<br />
The most famous Marcella is probably ""the most beautiful creature ever sent into the world"", in Don Quixote by Cervantes."
2133,Marcello,Boy,27,Little Marcus,English and Italian speaking countries,Italian cognate of Marcellus.
2134,Marcellus,Boy,27,Little Marcus,English speaking countries,"A Roman praenomen (given name) and cognomen (third name). Marcellus is a pet form of Marcus, etymologically related to the Roman god Mars. The name was borne by two popes."
2135,Marcelo,Boy,27,Little Marcus,"English, Portuguese and Spanish speaking countries",Portuguese and Spanish cognates of Marcellus.
2136,Marci,Girl,27,From the god Mars,English speaking countries,Pet form of Marcia.
2137,Marcia,Girl,27,From the god Mars,English and Spanish speaking countries,"Feminine form of Marcius, a variant of Marcus, which is derived from Mars, the Roman mythological god of war.<br />
Of English and Spanish usage, as well as Portuguese when spelt Márcia."
2138,Marcie,Girl,27,From the god Mars,English speaking countries,Pet form of Marcia.
2139,Marco,Boy,27,From the god Mars,"English, Italian, Portuguese and Spanish speaking countries","Spanish, Italian and Portuguese form of Mark.<br />
<br />
Marco Polo was a Venetian trader and explorer who was one of the first Westerners to travel the Silk Road to China and and visit the Great Khan of the Mongol Empire.  ""Marco Polo"" is also the na"
2140,Marcos,Boy,27,From the god Mars,"English, Portuguese and Spanish speaking countries","Spanish and Portuguese name derived from the Latin Marcus, a name derived that most believe has its roots in Mars, the Roman mythological god of war.<br />
Others, however, think it might be from the Latin adjective 'mas' (manly), or the Greek 'malakoz'"
2141,Marcus,Boy,27,From the god Mars,English speaking countries,"A Roman praenomen (given name) with Etruscan origins; the original Latin form of Mark.<br />
Marcus was probably derived from the name of the Roman god of war Mars, or the adjective 'mas' meaning ""male, virile"". Hence the meaning ""from Mars"", ""from the g"
2142,Marcy,Girl,27,From the god Mars,English speaking countries,"Pet form of Marcia.<br />
<br />
Marcy is sometimes found in historical documents as an alternate spelling of the name Mercy."
